motivacion,infracciones,porcentaje
"ADEMÁS DE LO DISPUESTO EN EL CAPÍTULO II DE ESTE TÍTULO, LOS CONDUCTORES DE VEHÍCULOS DE TRANSPORTE PÚBLICO DE PASAJEROS DEBEN: REALIZAR MANIOBRAS DE ASCENSO O DESCENSO DE PASAJEROS EN EL CARRIL DE LA EXTREMA DERECHA, EN LA ESQUINA ANTES DE CRUZAR LA VÍA TRANSVERSAL Y EN EL CASO DE TRANSPORTE PÚBLICO COLECTIVO SÓLO EN LUGARES AUTORIZADOS POR LA SECRETARÍA O INDICADOS EXPRESAMENTE EN LAS CONCESIONES;",543,0.01
"EN TODO MOMENTO LOS CONDUCTORES O PASAJEROS DE VEHÍCULOS DEBEN CONTRIBUIR A GENERAR UN AMBIENTE DE SANA CONVIVENCIA ENTRE TODOS LOS USUARIOS DE LA VÍA; POR LO QUE DEBEN OBEDECER LA SEÑALIZACIÓN VIAL, LAS INDICACIONES DE LOS AGENTES, DEL PERSONAL DE APOYO VIAL O PROMOTORES VOLUNTARIOS; Y DEBEN ABSTENERSE DE: INSULTAR, DENIGRAR O GOLPEAR AL PERSONAL QUE DESEMPEÑA LABORES DE AGILIZACIÓN DEL TRÁNSITO Y APLICACIÓN DE LAS SANCIONES ESTABLECIDAS EN ESTE REGLAMENTO",520,0.01
SE PROHÍBE ESTACIONAR CUALQUIER VEHÍCULO: FRENTE A: ESTABLECIMIENTOS BANCARIOS;,502,0.01
QUEDA PROHIBIDO A LOS CONDUCTORES DE VEHÍCULOS DE TRANSPORTE PÚBLICO COLECTIVO DE PASAJEROS: CIRCULAR POR LOS CARRILES CENTRALES DE LAS VÍAS DE ACCESO CONTROLADO A MENOS QUE ESTÉ EXPRESAMENTE AUTORIZADO PARA HACERLO;,492,0.01
"LOS CONDUCTORES Y OCUPANTES DE LOS VEHÍCULOS DEBEN DE CUMPLIR CON LAS DISPOSICIONES DE SEGURIDAD INDICADAS EN EL PRESENTE ARTÍCULO DE ACUERDO A LA NATURALEZA PROPIA DE CADA VEHÍCULO. LOS CONDUCTORES DE VEHÍCULOS MOTORIZADOS DEBEN: SUJETAR FIRMEMENTE CON AMBAS MANOS, EL CONTROL DE DIRECCIÓN Y NO PERMITIR QUE OTRO PASAJERO LO TOME PARCIAL O TOTALMENTE;",430,0.01
SE PROHÍBE ESTACIONAR CUALQUIER VEHÍCULO: FRENTE A: HIDRANTES PARA USO DE LOS BOMBEROS;,423,0.01
"LOS CONDUCTORES DE VEHÍCULOS DEBEN CERCIORARSE DE QUE SU VEHÍCULO ESTÉ PROVISTO DE LOS SIGUIENTES ELEMENTOS, DE ACUERDO A LA NATURALEZA PROPIA DE CADA VEHÍCULO. CONDUCTORES DE TODO VEHÍCULO MOTORIZADO: LUCES INDICADORAS DE FRENOS EN LA PARTE TRASERA; DIRECCIONALES Y LUCES DE PARADA DE DESTELLO INTERMITENTE DELANTERAS Y TRASERAS; LUCES PARA INDICAR MOVIMIENTO EN REVERSA; LUCES QUE ILUMINEN LA PLACA DE MATRÍCULA POSTERIOR;",407,0.01
"SE PROHÍBE A LOS CONDUCTORES DE TODO TIPO DE VEHÍCULOS: CIRCULAR O DETENERSE EN ÁREAS RESTRINGIDAS QUE ESTÉN DELIMITADAS POR MARCAS EN EL PAVIMENTO, INCLUYENDO LAS ÁREAS SEÑALADAS PARA EL ESTACIONAMIENTO EN VÍA PÚBLICA U OTROS DISPOSITIVOS PARA EL CONTROL DEL TRÁNSITO QUE ESTABLEZCAN ESTE IMPEDIMENTO, EN ESPECIAL: CIRCULAR SOBRE ACERAS O CUALQUIER OTRO TIPO DE VÍAS PEATONALES A EXCEPCIÓN QUE SE TRATE DE UN VEHÍCULO DE APOYO PEATONAL.",406,0.01
"LOS CONDUCTORES Y OCUPANTES DE LOS VEHÍCULOS DEBEN DE CUMPLIR CON LAS DISPOSICIONES DE SEGURIDAD INDICADAS EN EL PRESENTE ARTÍCULO DE ACUERDO A LA NATURALEZA PROPIA DE CADA VEHÍCULO. LOS CONDUCTORES DE VEHÍCULOS MOTORIZADOS DEBEN: ENCENDER LAS LUCES CUANDO DISMINUYA SENSIBLEMENTE LA VISIBILIDAD POR CUALQUIER FACTOR AMBIENTAL O POR LAS CARACTERÍSTICAS DE LA INFRAESTRUCTURA VIAL, EVITANDO DESLUMBRAR A QUIENES TRANSITAN EN SENTIDO OPUESTO; Y",353,0.01
"LOS CONDUCTORES DE VEHÍCULOS SON RESPONSABLES DE EVITAR REALIZAR ACCIONES QUE PONGAN EN RIESGO SU INTEGRIDAD FÍSICA Y LA DE LOS DEMÁS USUARIOS DE LA VÍA, POR LO QUE SE PROHÍBE: A LOS CONDUCTORES DE VEHÍCULOS MOTORIZADOS: UTILIZAR OBJETOS QUE REPRESENTEN UN DISTRACTOR PARA LA CONDUCCIÓN SEGURA; TRATÁNDOSE DE DISPOSITIVOS DE APOYO A LA CONDUCCIÓN COMO MAPAS Y NAVEGADORES GPS, CUALQUIER MANIPULACIÓN DEBERÁ HACERSE CON EL VEHÍCULO DETENIDO;",335,0.01
"SE PROHÍBE INSTALAR O UTILIZAR EN VEHÍCULOS MOTORIZADOS: LUCES DE NEÓN Y/O PORTA PLACAS QUE OBSTRUYAN LA VISIBILIDAD DE LA INFORMACIÓN CONTENIDA EN LAS PLACAS DE MATRÍCULA DEL VEHÍCULOY/O MICAS, LÁMINAS TRANSPARENTES U OBSCURAS SOBRE LAS MISMAS PLACAS;",326,0.01
SE PROHÍBE A LOS CONDUCTORES DE MOTOCICLETAS: CIRCULAR POR LOS CARRILES CONFINADOS PARA EL TRANSPORTE PÚBLICO DE PASAJEROS;,310,0.01
"ADEMÁS DE LO DISPUESTO EN EL CAPÍTULO II DE ESTE TÍTULO, LOS CONDUCTORES DE VEHÍCULOS DE TRANSPORTE PÚBLICO DE PASAJEROS DEBEN: CIRCULAR CON LAS LUCES INTERIORES ENCENDIDAS EN HORARIO NOCTURNO;",299,0.01
"QUEDA PROHIBIDO A LOS CONDUCTORES DE VEHÍCULOS DE TRANSPORTE PÚBLICO COLECTIVO DE PASAJEROS: REALIZAR MANIOBRAS DE ASCENSO O DESCENSO DE PASAJEROS, EN EL SEGUNDO O TERCER CARRIL DE CIRCULACIÓN, CONTADOS DE DERECHA A IZQUIERDA, O SOBRE UNA VÍA CICLISTA EXCLUSIVA; Y",291,0.01
"LOS CONDUCTORES DE VEHÍCULOS MOTORIZADOS QUE ACCEDAN A VÍAS CONCESIONADAS O PERMISIONADAS ESTÁN OBLIGADOS A REALIZAR EL PAGO CORRESPONDIENTE DE ACUERDO A LAS TARIFAS ESTABLECIDAS, SALVO QUE: EXISTA ALGÚN ANUNCIO POR PARTE DE LA AUTORIDAD QUE INDIQUE EL LIBRE ACCESO A CAUSA DE ALGUNA CONTINGENCIA O POR NECESIDADES DE INTERÉS PÚBLICO;",279,0.01
"ADEMÁS DE LO DISPUESTO EN EL CAPÍTULO II DE ESTE TÍTULO, LOS CONDUCTORES DE VEHÍCULOS DE TRANSPORTE DE CARGA DEBEN: CIRCULAR POR EL CARRIL DE LA EXTREMA DERECHA Y USAR EL IZQUIERDO SÓLO PARA REBASAR O DAR VUELTA A LA IZQUIERDA; Y",216,0
"SE PROHÍBE ESTACIONAR CUALQUIER VEHÍCULO: EN ÁREAS DE CIRCULACIÓN, ACCESOS Y SALIDAS DE ESTACIONES Y TERMINALES DEL TRANSPORTE PÚBLICO COLECTIVO, SITIOS DE TAXI, ASÍ COMO EN ZONAS DE ASCENSO Y DESCENSO DE PASAJE DE TRANSPORTE PÚBLICO;",210,0
LOS CONDUCTORES DE TODO TIPO DE VEHÍCULOS DEBEN: REBASAR OTRO VEHÍCULO SÓLO POR EL LADO IZQUIERDO; EN EL CASO DE VEHÍCULOS MOTORIZADOS QUE ADELANTEN A CICLISTAS O MOTOCICLISTAS DEBEN OTORGAR AL MENOS LA DISTANCIA DE 1.50 METROS DE SEPARACIÓN LATERAL,205,0
"SE PROHÍBE ESTACIONAR CUALQUIER VEHÍCULO: FRENTE A: RAMPAS VEHICULARES PARA EL ACCESO A COCHERAS, SALVO QUE SE TRATE DEL DOMICILIO DEL PROPIO CONDUCTOR, SIEMPRE Y CUANDO NO SE INVADA LA ACERA, EL TRÁNSITO DE PEATONES, CAJONES DE ESTACIONAMIENTO, O ÁREAS DE  ESTACIONAMIENTO RESTRINGIDO",196,0
SE PROHÍBE ESTACIONAR CUALQUIER VEHÍCULO: SOBRE O DEBAJO DE CUALQUIER PUENTE O ESTRUCTURA ELEVADA DE UNA VÍA PÚBLICA O EN EL INTERIOR DE UN TÚNEL;,187,0
"SE PROHÍBE A LOS CONDUCTORES DE TODO TIPO DE VEHÍCULOS: EN LAS VÍAS CON CARRILES EXCLUSIVOS DE TRANSPORTE PÚBLICO: ESTACIONARSE O EFECTUAR REPARACIONES A VEHÍCULOS, EN CASO DE CONTINGENCIA O EMERGENCIA, DE FORMA INMEDIATA SE DEBE RETIRAR EL VEHÍCULO A UN LUGAR DISTINTO DONDE NO OBSTRUYA LA CIRCULACIÓN; Y",182,0
"SE PROHÍBE INSTALAR O UTILIZAR EN VEHÍCULOS MOTORIZADOS: PELÍCULAS DE CONTROL SOLAR (POLARIZADO) U OSCURECIMIENTO DE VIDRIOS LATERALES O TRASEROS EN UN PORCENTAJE MAYOR AL 20%. CUANDO ASÍ SE REQUIERA POR RAZONES MÉDICAS, DEBIDAMENTE ACREDITADAS ANTE LA SECRETARÍA, Y DEBERÁ CONSTAR EN LA TARJETA DE CIRCULACIÓN.",182,0
"LOS CONDUCTORES DE VEHÍCULOS MOTORIZADOS DEBEN CUMPLIR CON LOS REQUISITOS LEGALES ESPECIFICADOS POR CADA TIPO DE VEHÍCULO DEL QUE SE TRATE: CONDUCTORES DE VEHÍCULOS MOTORIZADOS DE USO PARTICULAR, INCLUYENDO A MOTOCICLISTAS, DEBEN: CUANDO SEAN MENORES DE EDAD, PORTAR PERMISO DE CONDUCIR;",156,0
SE PROHÍBE ESTACIONAR CUALQUIER VEHÍCULO: EN SENTIDO CONTRARIO A LA CIRCULACIÓN;,156,0
"EN LA VÍA PÚBLICA ESTÁ PROHIBIDO: UTILIZAR INADECUADAMENTE, OBSTRUIR, LIMITAR, DAÑAR, COLOCAR, DETERIORAR O DESTRUIR LA SEÑALIZACIÓN VIAL;",151,0
"LOS CONDUCTORES DE VEHÍCULOS SON RESPONSABLES DE EVITAR REALIZAR ACCIONES QUE PONGAN EN RIESGO SU INTEGRIDAD FÍSICA Y LA DE LOS DEMÁS USUARIOS DE LA VÍA, POR LO QUE SE PROHÍBE: A LOS CONDUCTORES DE VEHÍCULOS MOTORIZADOS: LLEVAR OBJETOS QUE OBSTRUYAN LA VISIBILIDAD DEL CONDUCTOR O LO DISTRAIGAN;",150,0
SE PROHÍBE A LOS CONDUCTORES DE MOTOCICLETAS: CIRCULAR POR VÍAS CICLISTAS EXCLUSIVAS;,142,0
SE PROHÍBE ESTACIONAR CUALQUIER VEHÍCULO: EN LUGARES DONDE SE OBSTRUYA LA VISIBILIDAD DE LA SEÑALIZACIÓN VIAL;,136,0
LOS VEHÍCULOS MOTORIZADOS QUE CIRCULEN EN EL TERRITORIO DEL DISTRITO FEDERAL DEBEN DE CONTAR CON: EL HOLOGRAMA Y CONSTANCIA DE VERIFICACIÓN VEHICULAR VIGENTE CON EXCEPCIÓN DE MOTOCICLETAS. LOS VEHÍCULOS MOTORIZADOS DE LOS ESTADOS QUE CONFORMAN LA COMISIÓN AMBIENTAL DE LA MEGALÓPOLIS Y QUE CIRCULEN EN EL TERRITORIO DEL DISTRITO FEDERAL ESTÁN OBLIGADOS A PORTAR SU HOLOGRAMA Y CONSTANCIA DE VERIFICACIÓN VEHICULAR VIGENTE RESPECTIVA; Y,132,0
"LOS CONDUCTORES DE VEHÍCULOS SON RESPONSABLES DE EVITAR REALIZAR ACCIONES QUE PONGAN EN RIESGO SU INTEGRIDAD FÍSICA Y LA DE LOS DEMÁS USUARIOS DE LA VÍA, POR LO QUE SE PROHÍBE: A LOS CONDUCTORES DE VEHÍCULOS MOTORIZADOS: SOSTENER, CARGAR O COLOCAR PERSONAS O ANIMALES ENTRE SUS BRAZOS Y PIERNAS;",127,0
"SE PROHÍBE ESTACIONAR CUALQUIER VEHÍCULO: EN LOS CARRILES DE CIRCULACIÓN FRENTE A CICLOESTACIONES DE BICICLETA PÚBLICA Y BICIESTACIONAMIENTOS DE CORTA ESTANCIA QUE SE ENCUENTREN UBICADOS EN LA FRANJA DE ESTACIONAMIENTO, CON EXCEPCIÓN DE LOS VEHÍCULOS DESTINADOS PARA LA OPERACIÓN DEL SISTEMA DE BICICLETA PÚBLICA, SIEMPRE Y CUANDO SE E",121,0
SE PROHÍBE ESTACIONAR CUALQUIER VEHÍCULO: FRENTE A: RAMPAS PEATONALES;,120,0
"LOS CONDUCTORES DE VEHÍCULOS DEBEN CERCIORARSE DE QUE SU VEHÍCULO ESTÉ PROVISTO DE LOS SIGUIENTES ELEMENTOS, DE ACUERDO A LA NATURALEZA PROPIA DE CADA VEHÍCULO. VEHÍCULOS DE TRANSPORTE DE CARGA: BANDAS REFLEJANTES DE COLOR BLANCO Y ROJO EN LOS COSTADOS LATERALES Y POSTERIOR Y BANDAS REFLEJANTES AMARILLAS EN LA PARTE FRONTAL;",113,0
"VEHICULO USO PARTICULAR - PARA GARANTIZAR LA SEGURIDAD DE LOS PEATONES, LOS CONDUCTORES DE VEHÍCULOS ESTÁN OBLIGADOS A OTORGAR: PREFERENCIA DE PASO EN LAS INTERSECCIONES CONTROLADAS POR SEMÁFOROS, CUANDO: LA LUZ VERDE LES OTORGUE EL PASO A LOS PEATONES;",110,0
"ESTÁ PROHIBIDO ABANDONAR EN LA VÍA PÚBLICA UN VEHÍCULO O REMOLQUE QUE SE ENCUENTRE INSERVIBLE, DESTRUIDO O INUTILIZADO. SE ENTIENDE POR ESTADO DE ABANDONO, LOS VEHÍCULOS QUE: PARTICIPARON EN UN HECHO DE TRÁNSITO, NO ESTÁN EN POSIBILIDADES DE CIRCULAR Y NO CUENTEN CON EL PERMISO CORRESPONDIENTE.",109,0
"LOS CONDUCTORES DE TODO TIPO DE VEHÍCULOS DEBEN: COMPARTIR LOS CARRILES DE CIRCULACIÓN DE MANERA RESPONSABLE CON LOS DEMÁS VEHÍCULOS, POR LO QUE SE DEBE CAMBIAR DE CARRILES DE FORMA ESCALONADA Y TOMAR EL CARRIL EXTREMO CORRESPONDIENTE ANTICIPADAMENTE CUANDO SE PRETENDA DAR VUELTA, CONSIDERANDO LO ESPECIFICADO EN LA FRACCIÓN VIII DEL ESTE ARTÍCULO",100,0
"SE PROHÍBE A LOS CONDUCTORES DE MOTOCICLETAS: CIRCULAR EN VÍAS EN LAS QUE EXISTA SEÑALIZACIÓN VIAL QUE EXPRESAMENTE RESTRINJA SU CIRCULACIÓN, CARRILES CENTRALES Y SEGUNDOS NIVELES DE VÍAS DE ACCESO CONTROLADO.",98,0
"LOS CONDUCTORES DE VEHÍCULOS DEBEN CERCIORARSE DE QUE SU VEHÍCULO ESTÉ PROVISTO DE LOS SIGUIENTES ELEMENTOS, DE ACUERDO A LA NATURALEZA PROPIA DE CADA VEHÍCULO. CONDUCTORES DE TODO VEHÍCULO MOTORIZADO: COMBUSTIBLE Y LUBRICANTE SUFICIENTE PARA SU BUEN FUNCIONAMIENTO;",95,0
"SE PROHÍBE A LOS CONDUCTORES DE TODO TIPO DE VEHÍCULOS: EN LAS VÍAS CON CARRILES EXCLUSIVOS DE TRANSPORTE PÚBLICO: REALIZAR MANIOBRAS DE ASCENSO Y DESCENSO DE PERSONAS, O MANIOBRAS DE CARGA Y DESCARGA DE MERCANCÍAS, DEBIENDO REALIZARLAS EN CALLES LOCALES TRANSVERSALES;",90,0
"LOS CONDUCTORES DE VEHÍCULOS SON RESPONSABLES DE EVITAR REALIZAR ACCIONES QUE PONGAN EN RIESGO SU INTEGRIDAD FÍSICA Y LA DE LOS DEMÁS USUARIOS DE LA VÍA, POR LO QUE SE PROHÍBE: ADICIONALMENTE, A LOS CONDUCTORES DE VEHÍCULOS DE TRANSPORTE PÚBLICO, ESCOLAR Y DE PERSONAL: LLEVAR VIDRIOS POLARIZADOS, OBSCURECIDOS O CON ADITAMENTOS U OBJETOS DISTINTOS A LAS CALCOMANÍAS REGLAMENTARIAS.",87,0
LOS VEHÍCULOS MOTORIZADOS QUE CIRCULEN EN EL TERRITORIO DEL DISTRITO FEDERAL DEBEN DE CONTAR CON: LA CALCOMANÍA DE CIRCULACIÓN PERMANENTE;,87,0
"LOS CONDUCTORES DE VEHÍCULOS DEBEN CERCIORARSE DE QUE SU VEHÍCULO ESTÉ PROVISTO DE LOS SIGUIENTES ELEMENTOS, DE ACUERDO A LA NATURALEZA PROPIA DE CADA VEHÍCULO. CONDUCTORES DE TODO VEHÍCULO MOTORIZADO: NEUMÁTICOS EN CONDICIONES QUE GARANTICEN LA SEGURIDAD;",82,0
"LOS CONDUCTORES DE VEHÍCULOS SON RESPONSABLES DE EVITAR REALIZAR ACCIONES QUE PONGAN EN RIESGO SU INTEGRIDAD FÍSICA Y LA DE LOS DEMÁS USUARIOS DE LA VÍA, POR LO QUE SE PROHÍBE: A LOS CONDUCTORES DE VEHÍCULOS MOTORIZADOS: LLEVAR OBJETOS DE GRAN TAMAÑO ENTRE LA PORTEZUELA DEL VEHÍCULO Y SU COSTADO IZQUIERDO;",82,0
"VEHICULO USO PARTICULAR - LOS VEHÍCULOS MOTORIZADOS DEBERÁN CONTAR CON PÓLIZA DE SEGURO DE RESPONSABILIDAD CIVIL VIGENTE, QUE AMPARE AL MENOS LA RESPONSABILIDAD CIVIL POR DAÑOS A TERCEROS EN SU PERSONA Y EN SU PATRIMONIO.",81,0
"SE PROHÍBE ESTACIONAR CUALQUIER VEHÍCULO: EN LOS CAJONES EXCLUSIVOS DEBIDAMENTE AUTORIZADOS Y QUE CUENTEN CON MARCAS DE COLOR AZUL QUE ASÍ LO INDIQUE, A MENOS QUE SE TRATE DEL VEHÍCULO PARA EL CUAL ESTÁN DESTINADOS ESTOS ESPACIOS;",80,0
"SE PROHÍBE ESTACIONAR CUALQUIER VEHÍCULO: EN ESPACIOS PARA SERVICIOS ESPECIALES AUTORIZADOS POR LA SECRETARÍA O CUALQUIER OTRO SITIO INDICADO POR LA SEÑALIZACIÓN VIAL CORRESPONDIENTE, CUANDO ÉSTE NO SEA SU FIN;",76,0
"AUN CUANDO SE ENCUENTRE PRESENTE EL CONDUCTOR O ALGUNA OTRA PERSONA, LOS VEHÍCULOS MOTORIZADOS ESTACIONADOS SERÁN INMOVILIZADOS POR EL AGENTE, CUANDO LOS VEHÍCULOS SE ENCUENTREN ESTACIONADOS EN ZONAS EN LAS QUE EXISTAN SISTEMAS DE COBRO POR ESTACIONAMIENTO EN VÍA PÚBLICA, EN LOS SIGUIENTES CASOS EL PERMISO RENOVABLE PARA RESIDENTES HAYA PERDIDO VIGENCIA, NO SEA VISIBLE DESDE EL EXTERIOR DEL VEHÍCULO O NO COINCIDA CON LA PLACA DE MATRÍCULA DEL VEHÍCULO, O EL POLÍGONO PARA EL CUAL FUE AUTORIZADO",75,0
"LOS VEHÍCULOS MOTORIZADOS QUE CIRCULEN EN EL TERRITORIO DEL DISTRITO FEDERAL DEBEN DE CONTAR CON: PLACAS DE MATRÍCULA FRONTAL Y POSTERIOR, O PERMISO PROVISIONAL VIGENTES CORRESPONDIENTE AL TIPO DE VEHÍCULO, O EN SU DEFECTO, LA COPIA CERTIFICADA DE LA DENUNCIA DE LA PÉRDIDA DE LAS PLACAS DE MATRÍCULA ANTE EL AGENTE DEL MINISTERIO PÚBLICO O LA CONSTANCIA DE HECHOS ANTE EL JUEZ CÍVICO, LA CUAL NO DEBERÁ EXCEDER DEL TÉRMINO DE 10 DÍAS HÁBILES A PARTIR DE LA FECHA DE SU EXPEDICIÓN; MISMOS QUE DEBERÁN: EN EL CASO DE MOTOCICLETAS, LA PLACA DEBERÁ ESTAR COLOCADA EN UN LUGAR VISIBLE, CON LA LECTURA EN DIRECCIÓN HACIA LA PARTE TRASERA DEL VEHÍCULO, CON UNA INCLINACIÓN ENTRE 60° Y 120°, CON BASE EN SU EJE HORIZONTAL.",75,0
"SE PROHÍBE A LOS CONDUCTORES DE MOTOCICLETAS: HACER MANIOBRAS RIESGOSAS O TEMERARIAS, CORTES DE CIRCULACIÓN O CAMBIOS ABRUPTOS DE CARRIL QUE PONGAN EN RIESGO SU INTEGRIDAD Y LA DE TERCEROS;",68,0
"SE PROHÍBE ESTACIONAR CUALQUIER VEHÍCULO: EN ESPACIOS DE SERVICIOS ESPECIALES DESTINADOS AL ASCENSO Y DESCENSO DE PASAJEROS CUANDO LA PERMANENCIA DEL VEHÍCULO SUPERE EL TIEMPO INDICADO EN LA SEÑALIZACIÓN VIAL, EXCEPTO CUANDO SE TRATE DE PASAJEROS CON DISCAPACIDAD O MOVILIDAD LIMITADA;",63,0
"SE PROHÍBE ESTACIONAR CUALQUIER VEHÍCULO: EN CAJONES DE ESTACIONAMIENTO EXCLUSIVOS PARA PERSONAS CON DISCAPACIDAD DEBIDAMENTE IDENTIFICADOS POR MARCAS EN EL PAVIMENTO, GUARNICIÓN Y SEÑALAMIENTO VERTICAL INFORMATIVO, SALVO POR AQUELLOS VEHÍCULOS QUE CUENTEN CON PLACAS DE MATRÍCULA PARA PERSONAS CON DISCAPACIDAD Y VEHÍCULOS QUE REALICEN EL ASCENSO O DESCENSO DE PERSONAS CON DISCAPACIDAD POR UNA PERMANENCIA MÁXIMA DE 20 MINUTOS.",62,0
"ADEMÁS DE LO DISPUESTO EN EL CAPÍTULO II DE ESTE TÍTULO, LOS CONDUCTORES DE VEHÍCULOS DE TRANSPORTE DE CARGA DEBEN: CIRCULAR EN LAS VÍAS Y HORARIOS ESTABLECIDOS MEDIANTE AVISO DE LA SECRETARÍA;",60,0
"EN TODO MOMENTO LOS CONDUCTORES O PASAJEROS DE VEHÍCULOS DEBEN CONTRIBUIR A GENERAR UN AMBIENTE DE SANA CONVIVENCIA ENTRE TODOS LOS USUARIOS DE LA VÍA; POR LO QUE DEBEN OBEDECER LA SEÑALIZACIÓN VIAL, LAS INDICACIONES DE LOS AGENTES, DEL PERSONAL DE APOYO VIAL O PROMOTORES VOLUNTARIOS; Y DEBEN ABSTENERSE DE: PROFERIR VEJACIONES MEDIANTE UTILIZACIÓN DE SEÑALES VISUALES, AUDIBLES O DE CUALQUIER OTRO ACCESORIO ADHERIDO AL VEHÍCULO; GOLPEAR O REALIZAR MANIOBRAS CON EL VEHÍCULO CON OBJETO DE INTIMIDAR O MALTRATAR FÍSICAMENTE A OTRO USUARIO DE LA VÍA",60,0
"LOS CONDUCTORES Y OCUPANTES DE LOS VEHÍCULOS DEBEN DE CUMPLIR CON LAS DISPOSICIONES DE SEGURIDAD INDICADAS EN EL PRESENTE ARTÍCULO DE ACUERDO A LA NATURALEZA PROPIA DE CADA VEHÍCULO. ADICIONALMENTE, LOS MOTOCICLISTAS DEBEN: LLEVAR A BORDO SÓLO LA CANTIDAD DE PERSONAS PARA LAS QUE EXISTA PLAZA DISPONIBLE;",59,0
"VEHICULO USO PARTICULAR - LOS CONDUCTORES DE VEHÍCULOS DEBERÁN RESPETAR LOS LÍMITES DE VELOCIDAD ESTABLECIDOS EN LA SEÑALIZACIÓN VIAL. A FALTA DE SEÑALAMIENTO RESTRICTIVO ESPECÍFICO, LOS LÍMITES DE VELOCIDAD SE ESTABLECERÁN DE ACUERDO A LO SIGUIENTE: EN VÍAS PRIMARIAS LA VELOCIDAD MÁXIMA SERÁ DE 50 KILÓMETROS POR HORA; APLICANDO LA MÁXIMA SANCIÓN  CUANDO SE REBASE EL LÍMITE DE VELOCIDAD POR MÁS DE 40 % DE LA VELOCIDAD AUTORIZADA, DE ACUERDO CON LA INFORMACIÓN CAPTADA POR SISTEMA TECNOLÓGICO",56,0
"LOS CONDUCTORES DE TODO TIPO DE VEHÍCULOS DEBEN: REDUCIR LA VELOCIDAD PARA CONSERVAR UNA DISTANCIA PRUDENTE Y PERMITIR EL MOVIMIENTO, CUANDO OTRO VEHÍCULO PRETENDA INCORPORARSE A SU CARRIL Y ÉSTE LO HA INDICADO CON LAS LUCES DIRECCIONALES;",49,0
SE PROHÍBE ESTACIONAR CUALQUIER VEHÍCULO: FRENTE A: ACCESOS PEATONALES O VEHICULARES Y SALIDAS DE EMERGENCIA DE CENTROS ESCOLARES Y DEMÁS CENTROS DE CONCENTRACIÓN MASIVA QUE DETERMINE LA SECRETARÍA;,48,0
"LOS CONDUCTORES DE VEHÍCULOS DEBEN CERCIORARSE DE QUE SU VEHÍCULO ESTÉ PROVISTO DE LOS SIGUIENTES ELEMENTOS, DE ACUERDO A LA NATURALEZA PROPIA DE CADA VEHÍCULO. CONDUCTORES DE TODO VEHÍCULO MOTORIZADO: PARABRISAS EN ÓPTIMAS CONDICIONES QUE PERMITA LA VISIBILIDAD AL INTERIOR Y EXTERIOR DEL VEHÍCULO;",46,0
"LOS CONDUCTORES DE VEHÍCULOS SON RESPONSABLES DE EVITAR REALIZAR ACCIONES QUE PONGAN EN RIESGO SU INTEGRIDAD FÍSICA Y LA DE LOS DEMÁS USUARIOS DE LA VÍA, POR LO QUE SE PROHÍBE: A LOS CONDUCTORES DE VEHÍCULOS MOTORIZADOS: TRANSPORTAR MAYOR NÚMERO DE PERSONAS QUE EL SEÑALADO EN LA TARJETA DE CIRCULACIÓN;",40,0
"LOS CONDUCTORES DE AUTOMÓVILES QUE VIAJEN CON PASAJEROS MENORES DE DOCE AÑOS DE EDAD O QUE MIDAN MENOS DE 1.45 METROS DE ALTURA, DEBERÁN ASEGURARSE QUE ÉSTOS OCUPEN UNA DE LAS PLAZAS TRASERAS SOBRE LA HILERA INMEDIATAMENTE POSTERIOR A LOS ASIENTOS DEL CONDUCTOR O DEL COPILOTO QUE CUENTE CON CINTURÓN DE SEGURIDAD DE TRES PUNTOS.",36,0
"LOS CONDUCTORES DE VEHÍCULOS DESTINADOS AL SERVICIO DE TRANSPORTE PÚBLICO DE PASAJEROS, TRANSPORTE ESCOLAR O DE PERSONAL, VEHÍCULOS DE EMERGENCIA, DE TRANSPORTE DE CARGA O DE TRANSPORTE DE SUSTANCIAS TÓXICAS O PELIGROSAS, NO DEBEN PRESENTAR NINGUNA CANTIDAD DE ALCOHOL EN LA SANGRE O EN AIRE ESPIRADO, SÍNTOMAS SIMPLES DE ALIENTO ALCOHÓLICO O DE ESTAR BAJO LOS EFECTOS DE NARCÓTICOS, ESTUPEFACIENTES O PSICOTRÓPICOS AL CONDUCIR",35,0
"PARA LAS PREFERENCIAS DE PASO EN LAS INTERSECCIONES, EL CONDUCTOR SE AJUSTARÁ AL SEÑALAMIENTO RESTRICTIVO Y A LAS SIGUIENTES REGLAS: EN LAS INTERSECCIONES REGULADAS MEDIANTE SEMÁFOROS SE RESPETARÁN LAS SIGUIENTES REGLAS: CUANDO EXISTA CONGESTIÓN VEHICULAR QUE IMPIDA CRUZAR COMPLETAMENTE LA INTERSECCIÓN Y AUNQUE LA LUZ DEL SEMÁFORO INDIQUE SIGA, SE DEBERÁ PARAR EN LA LÍNEA DE ALTO PARA EVITAR OBSTRUIR LA CIRCULACIÓN DE LAS CALLES TRANSVERSALES, PRINCIPALMENTE EN AQUELLAS QUE CUENTEN CON MARCA EN EL PAVIMENTO PARA INDICAR LA PROHIBICIÓN DE DETENCIÓN DENTRO DE LA INTERSECCIÓN;",35,0
